PMID,Title,DOI_URL
,Influence of multiple APOE genetic variants on cognitive function in a cohort of older men - results from the Normative Aging Study,
22407520,Lifestyle change and high-density lipoprotein change: the US Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1002/clc.21978
30059941,"Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: Evidence of sensitive subpopulations in cadmium risk assessment.",https://doi.org/10.1016/j.envint.2018.06.040
32561690,Biomarkers of aging and lung function in the normative aging study.,https://doi.org/10.18632/aging.103363
32561690,Biomarkers of aging and lung function in the normative aging study.,https://doi.org/10.18632/aging.103363
32561690,Biomarkers of aging and lung function in the normative aging study.,https://doi.org/10.18632/aging.103363
22407520,Lifestyle change and high-density lipoprotein change: the US Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1002/clc.21978
23257623,Allergen sensitization is associated with increased DNA methylation in older men.,https://doi.org/10.1159/000343004
30414594,Accelerated DNA methylation age and the use of antihypertensive medication among older adults.,https://doi.org/10.18632/aging.101626
26733571,Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study.,https://doi.org/10.1136/bmjopen-2015-009790
23257623,Allergen sensitization is associated with increased DNA methylation in older men.,https://doi.org/10.1159/000343004
24030502,Blood pressure and cognition: factors that may account for their inconsistent association.,https://doi.org/10.1097/EDE.0b013e3182a7121c
22207354,Aging and epigenetics: longitudinal changes in gene-specific DNA methylation.,https://doi.org/10.4161/epi.7.1.18749
21414889,Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1289/ehp.1003279
21414889,Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1289/ehp.1003279
21414889,Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1289/ehp.1003279
21414889,Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the Department of Veterans Affairs Normative Aging Study.,https://doi.org/10.1289/ehp.1003279
