"edgeId","publication","DOI"
"1","Lifestyle change and high-density lipoprotein change: the us department of veterans affairs Normative Aging Study","https://doi.org/10.1002/clc.21978"
"2","Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes","https://doi.org/10.1093/ije/dys220"
"3","DNA methylation of oxidative stress genes and cancer risk in the Normative Aging Study","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4859680/"
"3","Mirna-processing gene methylation and cancer risk","https://doi.org/10.1158/1055-9965.epi-17-0849"
"3","Repetitive element hypomethylation in blood leukocyte DNA and cancer incidence, prevalence, and mortality in elderly individuals: the Normative Aging Study","https://doi.org/10.1007/s10552-010-9715-2"
"3","Promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort","https://doi.org/10.2217/epi-2017-0141"
"3","DNA methylation of telomere-related genes and cancer risk","https://doi.org/10.1158%2F1940-6207.CAPR-17-0413"
"3","Longitudinal study of DNA methylation of inflammatory genes and cancer risk","https://doi.org/10.1158/1055-9965.epi-15-0198"
"4","Promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort","https://doi.org/10.2217/epi-2017-0141"
"5","Alu and line-1 methylation and lung function in the normative ageing study","https://doi.org/10.1136/bmjopen-2012-001231"
"5","Biomarkers of aging and lung function in the Normative Aging Study","https://doi.org/10.18632/aging.103363"
"5","Metastable DNA methylation sites associated with longitudinal lung function decline and aging in humans: an epigenome-wide study in the nas and kora cohorts","https://doi.org/10.1080/15592294.2018.1529849"
"5","Gene promoter methylation is associated with lung function in the elderly: the Normative Aging Study","https://doi.org/10.4161/epi.7.3.19216"
"6","Promoter methylation of pgc1a and pgc1b predicts cancer incidence in a veteran cohort","https://doi.org/10.2217/epi-2017-0141"
"7","Repetitive element hypomethylation in blood leukocyte DNA and cancer incidence, prevalence, and mortality in elderly individuals: the Normative Aging Study","https://doi.org/10.1007/s10552-010-9715-2"
"8","Short- and intermediate-term exposure to ambient fine particulate elements and leukocyte epigenome-wide DNA methylation in older men: the Normative Aging Study","https://doi.org/10.1016/j.envint.2021.106955"
"8","Differential DNA methylation and PM 2.5 species in a 450k epigenome-wide association study","https://doi.org/10.1080/15592294.2016.1271853"
"8","Exposure to airborne particulate matter is associated with methylation pattern in the asthma pathway","https://doi.org/10.2217/epi.13.16"
"8","Associations of annual ambient PM2.5 components with DNAm phenoage acceleration in elderly men: the Normative Aging Study","https://doi.org/10.1016/j.envpol.2019.113690"
"8","Air pollution and gene-specific methylation in the Normative Aging Study: association, effect modification, and mediation analysis","https://doi.org/10.4161/epi.27584"
"8","Prolonged exposure to particulate pollution, genes associated with glutathione pathways, and DNA methylation in a cohort of older men","https://doi.org/10.1289/ehp.1002773"
"8","Genome-wide analysis of DNA methylation and fine particulate matter air pollution in three study populations: kora f3, kora f4, and the Normative Aging Study","https://doi.org/10.1289/ehp.1509966"
"8","Associations between long-term exposure to PM 2.5 component species and blood DNA methylation age in the elderly: the VA Normative Aging Study","https://doi.org/10.1016/j.envint.2016.12.024"
"8","Beyond the mean: quantile regression to explore the association of air pollution with gene-specific methylation in the Normative Aging Study","https://doi.org/10.1289/ehp.1307824"
"8","Long-term ambient particle exposures and blood DNA methylation age: findings from the VA Normative Aging Study","https://doi.org/10.1093/eep/dvw006"
"9","Associations between short-term changes in air pollution and correlates of arterial stiffness: the veterans affairs Normative Aging Study, 2007-2011","https://doi.org/10.1093/aje/kwt271"
"10","Quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability, blood lipids, and biomarkers of inflammation in elderly american men: the Normative Aging Study","https://doi.org/10.1289/ehp.1510044"
"10","Association between long-term exposure to traffic particles and blood pressure in the veterans administration Normative Aging Study","https://doi.org/10.1136/oemed-2011-100268"
"10","Use of the adaptive lasso method to identify PM2.5 components associated with blood pressure in elderly men: the veterans affairs Normative Aging Study","https://doi.org/10.1289/ehp.1409021"
"11","Short-term exposure to PM 2.5 components and renal health: findings from the veterans affairs Normative Aging Study","https://doi.org/10.1016/j.jhazmat.2021.126557"
"12","Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microrna processing genes in older men","https://pubmed.ncbi.nlm.nih.gov/26724585/#:~:text=DOI%3A-,10.1016/j.envint.2015.12.014,-Abstract"
"12","Short-term air pollution, cognitive performance, and nonsteroidal anti-inflammatory drug use in the veterans affairs Normative Aging Study","https://doi.org/10.1038/s43587-021-00060-4"
"12","Traffic-related air pollution and cognitive function in a cohort of older men","https://doi.org/10.1289/ehp.1002767"
"13","Associations between acute and long-term exposure to PM2.5 components and temperature with qt interval length in the VA Normative Aging Study","https://doi.org/10.1093/eurjpc/zwaa161"
"13","Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study","https://doi.org/10.1186/1476-069x-12-81"
"13","Associations between PM 2.5 metal components and qt interval length in the Normative Aging Study","https://doi.org/10.1016/j.envres.2021.110827"
"13","Exposure to sub-chronic and long-term particulate air pollution and heart rate variability in an elderly cohort: the Normative Aging Study","https://doi.org/10.1186/s12940-015-0074-z"
"13","Quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability, blood lipids, and biomarkers of inflammation in elderly american men: the Normative Aging Study","https://doi.org/10.1289/ehp.1510044"
"14","Particulate air pollution and fasting blood glucose in nondiabetic individuals: associations and epigenetic mediation in the Normative Aging Study, 2000-2011","https://doi.org/10.1289/ehp183"
"15","Long-term exposure to ambient fine particulate matter and renal function in older men: the veterans administration Normative Aging Study","https://doi.org/10.1289/ehp.1510269"
